trial,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,rounds,val_mlogloss
8,0.04,3,10,0.85,0.85,0.3,300,0.858376
37,0.08,6,10,0.9,0.9,0.3,300,0.858804
31,0.04,3,3,0.7,1,0.05,300,0.85897
45,0.04,3,15,0.85,0.85,0.2,300,0.859006
28,0.06,6,15,0.9,0.85,0.3,300,0.859608
38,0.12,3,25,0.9,1,0.3,300,0.859678
6,0.08,5,3,0.9,1,0.3,300,0.859783
29,0.04,3,15,1,0.65,0.2,300,0.860031
60,0.04,3,15,0.8,1,0,300,0.860144
9,0.02,4,5,0.7,1,0.05,300,0.860181
26,0.04,4,5,0.7,0.75,0.1,300,0.860285
17,0.06,3,3,0.7,0.65,0,300,0.860398
5,0.04,3,25,0.9,0.9,0.2,300,0.860611
14,0.08,3,25,0.7,0.85,0.3,300,0.860679
12,0.1,6,10,1,0.75,0.1,300,0.86079
55,0.06,3,25,0.7,0.75,0,300,0.860803
47,0.02,5,5,0.8,0.85,0.05,300,0.860947
18,0.02,6,10,0.7,0.75,0.05,300,0.861073
16,0.04,5,10,0.9,0.75,0.1,300,0.861164
48,0.1,6,3,0.9,0.85,0.3,300,0.861179
36,0.08,3,15,1,0.75,0.05,300,0.861213
58,0.04,4,25,0.85,0.9,0,300,0.861496
44,0.04,3,3,1,0.75,0.05,300,0.861516
52,0.12,3,15,0.85,1,0.2,300,0.86159
23,0.1,3,5,1,0.9,0.2,300,0.861618
53,0.04,3,5,1,0.9,0.1,300,0.861828
1,0.02,4,5,0.8,0.75,0.2,300,0.861996
51,0.12,6,10,1,0.9,0.1,300,0.862008
15,0.04,5,3,1,0.9,0.2,300,0.862052
30,0.02,4,5,0.8,0.85,0.05,300,0.862096
2,0.1,6,25,0.7,0.75,0.3,300,0.86255
20,0.06,6,3,0.9,0.65,0.2,300,0.862672
46,0.06,4,25,0.7,0.75,0,300,0.862879
50,0.04,4,25,1,1,0.2,300,0.863082
24,0.1,6,15,1,1,0.05,300,0.863481
56,0.12,3,10,0.7,0.65,0.05,300,0.863607
10,0.08,3,5,0.7,0.9,0.05,300,0.864124
57,0.1,3,5,0.7,0.85,0.1,300,0.86507
54,0.08,6,3,0.8,0.85,0.2,300,0.865152
25,0.08,4,15,0.9,0.9,0,300,0.865244
11,0.02,3,3,0.7,0.75,0.2,300,0.865816
39,0.04,6,5,1,0.85,0.05,300,0.866141
41,0.08,4,5,0.9,0.65,0.1,300,0.866395
7,0.04,6,5,0.9,0.65,0.05,300,0.866422
3,0.02,3,3,0.85,0.75,0.2,300,0.866768
35,0.04,6,3,0.8,0.75,0,300,0.866902
27,0.08,4,5,0.85,0.65,0.1,300,0.867071
49,0.04,6,3,0.8,0.9,0,300,0.867926
19,0.02,3,25,0.7,0.85,0.1,300,0.868654
4,0.02,3,25,0.85,0.9,0.3,300,0.869034
42,0.1,4,10,0.7,0.65,0.05,300,0.86914
22,0.1,4,5,0.85,0.85,0,300,0.872857
40,0.1,5,15,0.7,0.75,0.1,300,0.873934
43,0.08,5,5,0.7,1,0.05,300,0.87631
33,0.06,6,5,0.7,1,0.05,300,0.876437
59,0.12,5,10,0.9,0.65,0.05,300,0.877795
34,0.12,5,5,0.85,0.65,0.1,300,0.878454
32,0.12,4,3,0.7,0.9,0,300,0.880693
21,0.08,6,3,0.8,0.85,0.05,300,0.88531
13,0.12,6,3,0.9,0.65,0,300,0.895239
